Sun Nov 27 07:01:14 EST 2016,   https://t.co/KBLKTP89Xi, | Myths and Facts About Obstructive Sleep Apnea|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'sleep apnea' 'OSA' 'obstructive sleep apnea' 'snoring' 'sleep' 'sleep disorder' 'breathing']|, ||
Thu Aug 25 09:02:52 EDT 2016,   https://t.co/rbzzb5Feby, | Slideshow: 18 Secrets Guys Wish You Knew|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'relationships' 'pictures of relationships' 'men' 'women' 'romance' 'sex' 'dating men' 'secrets about men' 'secrets about guys' 'married men' 'how men are' 'what men think' 'gender differences' 'male vs female' 'sexual relations' 'men dating relationships' 'marriage' 'commitment' 'cheating' 'counseling marriage']|, ||
Fri Sep 09 18:03:29 EDT 2016,   https://t.co/j6yn0dsUnT, | Quiz: All About Farts|, |['quizzes' 'questions' 'farts' 'smelly farts' 'gas' 'odor' 'gassy' 'flatulence' 'sick' 'aging' 'sound']|, ||
Tue Sep 13 15:53:23 EDT 2016,   https://t.co/TVFnR4nabf, | Sugar Companies Shifted Focus to Fat as Heart Harm|, |['sugar' 'sugar industry' 'fat' 'heart health' 'heart risks' 'heart disease' 'research'] |, |TUESDAY Sept. 13 2016 (HealthDay News) -- Analysis of 50-year-old documents suggests the sugar industry manipulated research to play down the harmful effects of sugar on the heart a new study says. The sugar industry paid Harvard University nutrition scientists to build a case against saturated fat and cholesterol as primary causes of heart disease while downplaying the negative health effects of sugary foods and beverages according to researchers at the University of California San Francisco (UCSF). Those Harvard scientists received the equivalent of $50000 in today's dollars the investigators said. As a result consumers may have been misled for decades into thinking only saturated fat harmed the heart and not sweets the researchers said. During that time obesity and associated ills like diabetes reached alarming levels in the United States. "There are all kinds of ways that you can subtly manipulate the outcome of a study which industry is very well practiced at" said the study's senior author Stanton Glantz a professor of medicine at UCSF. "As the saying goes he who pays the piper calls the tune" Glantz said in a university news release.  The Sugar Association said it still supports industry-funded research but admitted it should have been more open about past its involvement. For its report the UCSF team searched public archives for internal corporate documents from the sugar industry.  According to their analysis the sugar industry was aware by the 1950s that if people cut fat out of their diets their sugar intake would jump by about 30 percent. Around this time studies began to warn of a link between sugar and risk factors for heart disease like high cholesterol and triglycerides the researchers said. As media attention on the health risks associated with sugar increased a trade group for the sugar industry -- the Sugar Research Foundation -- commissioned a research review by Harvard scientists. (The trade group today is called the Sugar Association.) The association report appeared in the New England Journal of Medicine in 1967.  "The literature review helped shape not only public opinion on what causes heart problems but also the scientific community's view of how to evaluate dietary risk factors for heart disease" said Dr. Cristin Kearns lead author of the new study. It was Kearns who unearthed the industry documents.|
Fri Sep 02 10:05:10 EDT 2016,   https://t.co/vgZmG8d8jF, | Quiz: How Much Do You Know About Antibiotics?|, |['quizzes' 'questions' 'antibiotics' 'virus' 'bacteria' 'antibiotic resistance' 'ashley hayes']|, ||
Thu Apr 21 16:55:01 EDT 2016,   https://t.co/0PMGCaYxES, | Breast Cancer Meds Won't Raise Risk of These|, |['heart problems' 'heart attack' 'stroke' 'breast cancer' 'cancer' 'treating breast cancer' 'breast cancer medication' 'breast cancer drugs'] |, |THURSDAY April 21 2016 (HealthDay News) -- Treatment with estrogen-lowering drugs called aromatase inhibitors doesn't raise the risk of heart attacks and strokes among breast cancer survivors a new study suggests. However the researchers did find that women who took the drugs had a slightly higher risk of less serious heart problems such as an abnormal heart beat or swelling and irritation of the membrane surrounding the heart. "Our study is a comprehensive assessment of the impact aromatase inhibitors have on cardiovascular risk and provides reassurance that the hormone therapy to reduce breast cancer recurrence does not increase risk of the most fatal cardiovascular events" said study author Reina Haque. She is a research scientist at Kaiser Permanente's Southern California Department of Research and Evaluation. "A particular strength of our study is that we accounted for women's other potential cardiovascular risk factors as well as medication used to treat high blood pressure and high cholesterol" Haque added in a Kaiser news release. The study was published April 21 in the journal JAMA Oncology.  Cardiovascular disease is a leading cause of death in older breast cancer survivors the study authors said. Previous research has linked tamoxifen another commonly prescribed hormone-altering drug with a serious risk of stroke they added. The new study included more than 13000 postmenopausal women. The women were diagnosed with either progesterone or estrogen receptor-positive breast cancer. That means the growth of the breast cancer is fueled by one of those hormones. The cancers were diagnosed between 1991 and 2010. The women's health was followed through 2011. As part of their breast cancer treatment plan some postmenopausal women take only aromatase inhibitors. In other cases women may take tamoxifen for one to five years and then begin using aromatase inhibitors the researchers explained. In this study more than 28 percent of the women took aromatase inhibitors. Almost 32 percent took tamoxifen. About 20 percent took both drugs. Just over 19 percent didn't take either drug the researchers said. The study found that women who took aromatase inhibitors didn't have a higher risk for heart attacks and stroke than those who took tamoxifen did. But women who took only aromatase inhibitors or used them after tamoxifen treatment had up to a 29 percent higher risk of less serious heart problems than those who took only tamoxifen the research revealed.|
Mon Apr 11 18:20:44 EDT 2016,   https://t.co/xOnhQvqdBG, | error|, |['hormone therapy' 'prostate cancer' 'depression'] |, |MONDAY April 11 2016 (HealthDay News) -- Older men who receive testosterone-suppressing therapy for prostate cancer may be at increased risk of developing depression a new large study suggests. The findings are based on over 78000 U.S. men treated for earlier-stage prostate cancer. Researchers found that among those given hormone-suppressing therapy 7 percent developed clinical depression in the next few years. That compared with 5 percent of men who did not have the treatment. The findings do not prove that hormone therapy is to blame. But they do offer "pretty strong evidence" that might be the case said senior researcher Dr. Paul Nguyen. He is director of prostate brachytherapy at Brigham and Women's Hospital in Boston. Nguyen said his team accounted for some other factors that could affect depression risk -- including the severity of a man's cancer his age and education. And there was still a connection between hormone therapy and depression. Plus Nguyen said the longer the men were on hormone therapy the higher the risk of depression. Of men who were treated for six months or less 6 percent developed depression within three years of their cancer diagnosis. That rose to 8 percent among men who were on hormone therapy for at least a year the investigators found. Dr. Mayer Fishman is a medical oncologist at Moffitt Cancer Center in Miami who has studied the side effects of hormone therapy for prostate cancer. He and his colleagues have found a similar link between the therapy and depression symptoms. "What I like about this study is that it's large and it puts a number on the risk" said Fishman who was not involved in the research. So while it tells men and their doctors that hormone therapy may contribute to depression Fishman said "it also puts the risk in context." Why would hormone therapy raise a man's likelihood of depression? Nguyen pointed to a few possible reasons. "It could be a direct effect of reduced testosterone levels on mood" he said. "But there could also be indirect effects."|
Fri Jul 08 18:38:07 EDT 2016,   https://t.co/SlA7yXVA3t, | 9 Seeds You Should Be Eating|, |['Seeds' 'nutrition' 'chia' 'wild rice' 'quinoa' 'sunflower' 'sesame' 'pomegranate' 'hemp' 'flax' 'pumpkin']|, ||
Thu Aug 18 08:07:36 EDT 2016,   https://t.co/hVTAvUWSxv, | Slideshow: Tips for Contact Lens Wearers at Every Age|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of contact lenses' 'lenses' 'contacts' 'contact lenses care' 'contact lenses tips' 'eye doctor' 'eye care']|, ||
Tue May 03 11:32:00 EDT 2016,   https://t.co/FXcTyDzwr4, | Expectant Mom's Flu Shot Protects 2|, |['pregnant' 'pregnancy' 'flu shot' 'flu vaccine' 'flu' 'influenza' 'baby' 'fetus'] |, |TUESDAY May 3 2016 (HealthDay News) -- When a pregnant woman gets vaccinated for the flu the protection extends to her baby too new research confirms. Babies 6 months and younger whose mothers had a flu vaccine during pregnancy were 70 percent less likely to have lab-confirmed flu than babies born to mothers who didn't have the immunization while pregnant. In addition the babies born to mothers immunized during pregnancy had an 80 percent reduction in flu-related hospitalizations the study found. "Children younger than 6 months are too young to be vaccinated" said the study's lead author Dr. Julie Shakib.  "The best way to protect infants younger than 6 months is to make sure everyone around them is vaccinated. Immunizing pregnant women provides immunity to the baby through the placenta. Immunizing others who live with or care for the baby prevents them from getting the flu and passing it to the baby" said Shakib assistant professor of pediatrics at the University of Utah School of Medicine. The study authors called the need to get more pregnant women immunized "a public health priority."  The U.S. Centers for Disease Control and Prevention recommends that all pregnant women receive the flu vaccine to protect both the mother and the baby. Pregnancy causes changes that make women more susceptible to the flu and its complications the CDC says. And babies can't receive a flu vaccine of their own until they're at least 6 months old according to the CDC. The flu vaccine isn't recommended for infants under 6 months of age because their immune systems can't yet respond to the vaccine in a way that would allow them to develop enough protective antibodies Dr. Tina Tan said. She's a professor of pediatrics at Feinberg School of Medicine at Northwestern University in Chicago and was not involved with the study. For the study the researchers reviewed more than 245000 health records of pregnant women and more than 249000 infant records. Information was available for nine flu seasons from December 2005 through March 2014. Only about 10 percent of these women reported being vaccinated while pregnant the study revealed.|
Tue Jul 19 15:42:22 EDT 2016,   https://t.co/vXRyhR54dh, | Which Diabetes Drug Is Best?|, |['diabetes' 'diabetes treatments' 'diabetes medications' 'diabetes drugs' 'metformin' 'treating diabetes' 'type 2 diabetes'] |, |TUESDAY July 19 2016 (HealthDay News) -- No single drug to treat type 2 diabetes stands out from the pack when it comes to reducing the risks of heart disease stroke or premature death a new research review finds. The analysis of hundreds of clinical trials found no evidence that any one diabetes drug or drug combination beats out the others. Researchers said the results bolster current recommendations to first try an older cheaper drug -- metformin (Glumetza Glucophage) -- for most patients with type 2 diabetes. "There are very few things experts agree on but this is one of them" said Dr. Kevin Pantalone a diabetes specialist at the Cleveland Clinic and a member of the Endocrine Society. "Metformin in the absence of contraindications or intolerability should be the first-line agent to treat patients with type 2 diabetes" he said. Metformin can cause upset stomach and diarrhea so some patients are unable to stick with it day to day explained Pantalone who wasn't involved in the study. And people with kidney disease generally shouldn't take it he said. More than 29 million Americans have diabetes -- mostly type 2 according to the U.S. Centers for Disease Control and Prevention. The disease which is often linked to obesity causes blood sugar levels to be chronically high. Over time that can lead to complications such as heart disease stroke kidney failure and nerve damage the CDC says. There are numerous classes of medications that lower blood sugar levels. What's been unclear is whether any of those drugs work better than others in warding off diabetes complications and extending people's lives. The new analysis found no obvious winners. But the researchers also cautioned against drawing conclusions: The trials in the review were not specifically designed to see whether any of the medications prolong people's lives. Mainly they looked at "biochemical" effects -- like whether the drugs lower blood sugar explained Suetonia Palmer the lead researcher on the work. "So what we know is that currently there is no good evidence that one drug can improve life expectancy better than another -- either when they are used as the only drug for treatment or when added to metformin" said Palmer. She's an associate professor in the Department of Medicine at the University of Otago in New Zealand.|
Tue Jul 19 11:58:07 EDT 2016,   https://t.co/G07Moe8MMZ, | error|, |['prostate cancer' 'prostate' 'prostate cancer screening' 'advanced prostate cancer' 'aggressive prostate cancer' 'men' 'advanced prostate cancer rate'] |, |TUESDAY July 19 2016 (HealthDay News) -- New cases of advanced prostate cancer in the United States have skyrocketed 72 percent in the past decade a troubling new study shows. The biggest increase was among men aged 55 to 69 with a 92 percent jump seen over 10 years. This rise is worrisome because these men are the ones who may benefit most from screening and early treatment the researchers said. "The increase could be because the disease is becoming more aggressive or it could be because there is less screening being done but we don't know why" said lead researcher Dr. Edward Schaeffer. He is chair of urology at Northwestern University's Feinberg School of Medicine in Chicago. It's possible that prostate cancer may be getting more aggressive Schaeffer said but statistics also show that fewer men are being screened. That's the probable consequence of a 2012 recommendation by the U.S. Preventive Services Task Force that said men should not be screened for prostate-specific antigen (PSA). PSA a protein produced by cells of the prostate gland is often elevated in men with prostate cancer. "My major issue with the U.S. Preventive Services Task Force recommendation was it completely excluded the patient from the decision-making process" Schaeffer said. "PSA screening saves lives period." The men in the study who were diagnosed in 2013 versus 2004 had higher PSAs -- twice as high -- which implies that these men were not well screened Schaeffer said. However since advanced cancer cases began increasing before the change in the screening recommendation researchers can't definitively link the increase in cases to reduced screening alone Schaeffer said. And this study was not designed to prove that either factor caused an increase in advanced prostate cancer cases. Men should talk with their doctor about being screened for prostate cancer Schaeffer said. For men with an average risk screening should start at 50. For men at increased risk screening should start at 40. Screening can stop when a man has less than 10 years of life expectancy he said.|
Mon May 23 19:43:01 EDT 2016,   https://t.co/8VDggHZnKz, | Slideshow: The Truth About Vitamin D|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of vitamin D' 'vitamin D deficiency' 'low vitamin D' 'vitamin D symptoms' 'cancer' 'vitamin D side effects' 'vitamin D and cancer risk' 'vitamin D blood test picture' 'depression' 'heart disease' 'weight loss' 'osteoporosis' 'bone picture' 'brittle bones' 'osteomalcia Xray image' 'salmon' 'vitamin D supplement for babies']|, ||
Wed Apr 13 11:12:20 EDT 2016,   https://t.co/E7sw6JthLt, | Does Exercise Help or Hinder Your Diet?|, |['exercise' 'diet' 'dieting' 'physical activity' 'appetite' 'weight loss' 'lose weight'] |, |TUESDAY April 12 2016 (HealthDay News) -- Dieters sometimes worry that workouts could make them hungry but new research indicates exercise has the opposite effect diminishing the appetite -- at least temporarily. In two small studies participants who burned the same number of calories through exercise as those who cut back on food intake ate almost one-third less at a buffet meal. Men and women also seemed to show similar hunger-hormone responses to exercise-induced calorie deficits. "Some researchers have claimed that women's appetites appetite hormones and food intake are more likely to increase after exercise than men's" said study author David Stensel a lecturer in exercise metabolism at Loughborough University in England. "Our new study shows that this is not the case -- at least over the course of a single day" he added. "We have seen this previously in men but were curious to see if women responded in the same way." The research was published in the March issue of the journal Medicine & Science in Sports & Exercise. In one study Stensel and his team analyzed hormonal psychological and behavioral responses to calorie control through exercise and food restriction over nine hours in a group of 12 healthy women. Participants whose calorie deficit stemmed from restricting food intake exhibited increased levels of the "hunger hormone" ghrelin and lower levels of a hunger-suppressing hormone called peptide YY according to the study.  At a buffet meal these women also ate an average of 944 calories compared to 660 calories for participants whose calorie deficits were created by running on a treadmill the investigators found. In the other study 10 men and 10 women completed 60 minutes of running at the start of a seven-hour trial. Appetite perception appetite hormones and food intake after exercise did not appear to differ between the sexes. Stensel emphasized that the appetite-suppressing effects of exercise are strongest during vigorous workouts. "The take-home message is that exercise will not necessarily make you overeat or compensate by eating more food" he said. "There is a widespread perception that exercise will make you hungry and cause you to overeat. We have shown this is not necessarily the case at least in the short term."|
Mon Oct 10 23:00:10 EDT 2016,   https://t.co/KYyvAsPoIF, | Slideshow: Visual Guide to Binge Eating Disorder|, |['Binge eating disorder' 'causes' 'eating disorder' 'bulimia' 'treatment' 'recovery' 'mental health' 'overweight' 'food binge' 'obesity' 'food addiction']|, ||
Wed Aug 03 18:22:37 EDT 2016,   https://t.co/DefQzqUImM, | Heart Risk Factors Rise Before Menopause|, |["'Danger zone' for women earlier than thought" 'study finds']|, ||
Thu Apr 28 17:22:02 EDT 2016,   https://t.co/NdVheB9OiW, | 12 Tips for Coping With Fibromyalgia|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'fibromyalgia' 'pictures of fibromyalgia' 'chronic fatigue' 'coping with fibromyalgia' 'fibromyalgia and exercise' 'stress journal' 'fibromyalgia support group' 'fibromyalgia pain' 'fibromyalgia fatigue' 'stress' 'Fibro' 'FM']|, ||
Fri Nov 25 09:00:37 EST 2016,   https://t.co/ewYPyGNJuf, | Quiz: What Do Your Dreams Say About You?|, |['what do my dreams mean' 'why do we dream' 'dream interpretation' 'recurring dreams' 'most common dreams' 'sex dreams' 'having nightmares' 'REM sleep' 'sleep disorders']|, ||
Fri Sep 02 11:35:52 EDT 2016,   https://t.co/GodFatpK5C, | Smoking Tied to Relapse Risk After Crohn's Surgery|, |['smoking' 'cigarettes' 'tobacco' 'bowel surgery' "crohn's disease" "crohn's surgery" 'smokers' 'nonsmokers' 'relapse' 'relapse risk'] |, |THURSDAY Sept. 1 2016 (HealthDay News) -- Smoking increases the risk that Crohn's disease patients will have relapses after bowel surgery new research suggests. The study included 240 Crohn's disease patients in the United Kingdom who were followed for three years after bowel surgery. Crohn's disease occurs when the immune system attacks the lining of the gut and bowel and causes severe inflammation the study authors noted. This can result in diarrhea abdominal pain nausea and reduced appetite. Patients are usually initially treated with drugs to suppress their immune system. But the study authors said that more than half of Crohn's patients eventually have surgery to remove the affected section of their bowel. However surgery does not cure Crohn's and relapses are common. According to the researchers from the University of Edinburgh in Scotland smokers were much more likely than nonsmokers to relapse after surgery. The investigators also assessed whether a class of drugs called thiopurines (such as mercaptopurine brand names Purinethol and Purixan) do a good job preventing relapse after surgery. This type of drug which is often used to treat Crohn's did reduce the risk of relapse among smokers but not among nonsmokers the study found. The findings suggest that Crohn's patients who smoke should be offered thiopurines immediately after surgery but there is no evidence to support the use of these drugs in nonsmokers the researchers said. "Our study confirms that the most important thing somebody with Crohn's disease can do for their health is not to smoke" study author Jack Satsangi said in a university news release. He is head of the university's gastrointestinal unit at the Center of Genomic and Experimental Medicine. For nonsmokers having bowel surgery "close monitoring in the first year is the best course of action rather than immediate drug therapy" Satsangi added. The study was published Aug. 30 in The Lancet Gastroenterology and Hepatology.|
Tue Jul 12 10:20:25 EDT 2016,   https://t.co/0VEdgLDQa3, | Heart Failure|, |['heart failure' 'heart attack' 'cancer risk' 'cardiac screening' 'lung cancer' 'digestive cancers']|, ||
Tue Apr 26 11:33:01 EDT 2016,   https://t.co/BxwZH0l4Ap, | error|, |['']|, ||
Mon Aug 08 15:55:12 EDT 2016,   https://t.co/kB37oT1KCR, | Slideshow: Celebrities With Migraines|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'migraines' 'headaches' 'head pain' 'aura']|, ||
Mon May 09 14:19:02 EDT 2016,   https://t.co/bZBapnkERK, | E-Cigarette Poisonings Skyrocket Among Young Kids|, |['Swallowing the liquid nicotine appears to affect kids under 6 the most' 'data show'] |, |MONDAY May 9 2016 (HealthDay News) -- Calls to poison control centers about young children's exposure to e-cigarettes have skyrocketed in recent years new research shows. And those kids who are exposed seem to suffer worse health effects than those exposed to traditional cigarettes the study authors added. The biggest threat with e-cigarettes appears to be the nicotine liquid inside the devices the researchers said. "If this were an infectious disease this would be headlines across the country" said Dr. Gary Smith director of Nationwide Children's Hospital's Center for Injury Research and Policy in Ohio. He noted that the number of e-cigarette exposures in kids jumped 1500 percent from 2012 to 2015.  "E-cigarettes and liquid nicotine can cause serious poisoning and even death among young children" he said. "Like other dangerous poisons they should be kept out of sight and reach of children preferably in a locked location." The research published online May 9 in the journal Pediatrics follows last week's ban by the U.S. Food and Drug Administration on the sale of e-cigarettes to minors because of numerous health concerns in this vulnerable age group. "This final rule is a foundational step that enables the FDA to regulate products young people were using at alarming rates like e-cigarettes cigars and hookah tobacco which had gone largely unregulated" Mitch Zeller director of the FDA Center for Tobacco Products said during a May 9 media briefing announcing the ban. Smokers have flocked to e-cigs in recent years. The battery-powered devices heat up fluid until it becomes vapor which is then inhaled. The fluid includes nicotine and other ingredients such as flavors and chemicals. The new report suggests e-cigarettes particularly the liquid nicotine may pose the greatest harm to really young children. The researchers analyzed calls to the National Poison Data System about nicotine and tobacco products from January 2012 to April 2015. They focused on calls about kids under the age of 6. According to the study about 14 percent of calls were about exposure to e-cigarettes compared to 60 percent about exposure to traditional cigarettes. In about 92 percent of the e-cig cases the kids swallowed liquid nicotine.|
Sun May 29 19:45:01 EDT 2016,   https://t.co/2EckYsQYZX, | Slideshow: Top 10 Behavioral Problems in Cats|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'cat behavior problems' 'cat scratching' 'cat urine spraying' 'cat urine marking' 'bad cat behavior' 'behavioral problems cats' 'cats and meowing' 'cats and grooming']|, ||
Mon Apr 11 10:25:39 EDT 2016,   https://t.co/MuvP5aAHhK, | Marriage May Be a Cancer Fighter|, |['marriage' 'married' 'single' 'spouses' 'cancer' 'battling cancer' 'cancer battle' 'partner'] |, |MONDAY April 11 2016 (HealthDay News) -- A wedding band may be powerful medicine against cancer a new study suggests. Married people seem to have a marked survival advantage the researchers found: Single men with cancer had a death rate 27 percent higher than it was for married male patients while the death rate for single female patients was 19 percent higher than their married counterparts. "The effects that we find were actually quite notable" said study author Scarlett Lin Gomez a research scientist with the Cancer Prevention Institute of California. "They are comparable to some of the more clinical factors we often see that are associated with cancer prognosis like stage of disease or certain types of treatment." What's more this advantage appears to rely solely on the emotional bonds of matrimony and not the financial advantages that marriage offers Gomez said. "These patterns were very minimally explained by the married patients having greater economic resources" Gomez said. "Specifically we looked at health insurance and we looked at living in a higher socioeconomic status neighborhood. Even though these played a small role they really didn't explain the greater survival among the married." It should be noted that the study only found an association between marital status and cancer prognosis; it did not prove a cause-and-effect link. Previous studies over the past 10 to 15 years have shown a similar marriage benefit for cancer patients Gomez said but the benefit has always been chalked up to the love and support a person receives from their spouse. But married people also tend to have greater combined incomes and better access to insurance Gomez said. She and her colleagues decided to see whether money played a role in the survival advantage of married couples. For the analysis the researchers examined health records of nearly 800000 adults in California who were diagnosed with invasive cancer between 2000 and 2009 and were followed through 2012. The study published April 11 in the journal Cancer revealed that financial resources did not have much impact on a person's chance of beating cancer Gomez said.|
Tue Nov 29 13:30:16 EST 2016,   https://t.co/RkNigpjdD4, | Fast-Food Calorie Labeling Not Working|, |['fast food' 'fast food calories' 'calorie labeling' 'healthier eating' 'obese' 'obesity'] |, |MONDAY Nov. 28 2016 (HealthDay News) -- Does it help to know that a double quarter-pounder with cheese delivers 740 calories? Probably not a new study suggests. Starting next May fast-food chains with more than 20 locations in the United States must display calorie counts on menus. But this study questions whether the well-intended regulations will actually steer customers to less-fattening foods. Research in Philadelphia where such rules already exist indicate as few as 8 percent of fast-food eaters make healthy choices based on menu calorie counts the study found.  "I believe menu labeling has been an important policy effort to combat a public health problem for which we have few solutions" said study author Andrew Breck. "The success of such a calorie-labeling campaign however requires that target consumers simultaneously see the calorie labels are motivated to eat healthfully and understand how many calories they should be eating" said Breck. He is a doctoral candidate at NYU Wagner Graduate School of Public Service in New York City. Simply presenting calorie information is not enough he and his colleagues stressed.  To be effective nutrition labeling must be clearer and larger. It must also reach regular fast-food eaters -- people who expressed more concern with cost and convenience than nutrition Breck and his colleagues found.  The trend toward nutrition labeling on fast-food menus began in response to the U.S. obesity epidemic. About 38 percent of adults and 17 percent of teenagers are obese according to the U.S. Centers for Disease Control and Prevention. Obesity has been linked to a greater risk of high blood pressure stroke diabetes cancer and other health issues.  Philadelphia in 2010 required fast-food restaurants to post the caloric fat and sodium content of meals. New York City and Seattle already had similar rules.  But based on interviews with 1400 people in Philadelphia Breck's team concluded that significant labeling  improvements are needed for such laws to have an impact. The researchers analyzed responses from about 700 customers at 15 fast-food eateries in Philadelphia and another 700 people interviewed by phone.|
Thu Apr 14 18:44:16 EDT 2016,   https://t.co/5GiJrVs2Yq, | About Half of Women Benefit From Mammograms at 40?|, |['mammograms' 'breast cancer'] |, |THURSDAY April 14 2016 (HealthDay News) -- New research suggests that all women turning 40 should get a breast cancer risk assessment since half of them may have risks that are high enough to warrant annual mammograms right away. The finding is important because the latest guidelines on mammograms advise that most women can wait until the age of 45 or 50 to start having annual screenings. But the review of female patients between the ages of 40 and 44 found that 50 percent had an above-average risk for breast cancer and therefore would be eligible to begin screening mammography at age 40 said lead researcher Dr. Jennifer Plichta. She's a breast surgery fellow at Massachusetts General Hospital and Brigham and Women's Hospital in Boston. The study also found a significant percentage of women would qualify for other breast screening methods including breast MRI and genetic testing Plichta said. "We believe formal risk assessment is essential for women ages 40 to 44 in order to identify those who require screening mammography to start at the age of 40 and those who would qualify for screening MRIs and genetic testing" Plichta said. Plichta was to present her team's findings Thursday at the American Society of Breast Surgeons annual meeting in Dallas. Findings presented at meetings are generally viewed as preliminary until they've been published in a peer-reviewed journal. The analysis was designed to look at new breast cancer screening guidelines from the American Cancer Society and the American Society of Breast Surgeons. The cancer society updated its guidelines in 2015 recommending that women could wait until age 45 to start receiving annual mammograms. Previously the cancer society had recommended yearly screenings starting at age 40. The American Society of Breast Surgeons (ASBS) subsequently changed its guidelines to mirror the new cancer society recommendation Plichta said. However she noted the ASBS added a few extra conditions:|
Wed Oct 12 18:30:56 EDT 2016,   https://t.co/vYlK5euljX, | Kitchen Quickies: How to Peel Ginger|, |['ginger' 'grate ginger' 'stomach ache' 'food prep' 'ginger benefits' 'peel ginger']|, ||
Wed Jul 27 14:25:11 EDT 2016,   https://t.co/PEZ4B3RZG5, | error|, |['e-cigarette' 'e-cig' 'vaping' 'vaper' 'smoking' 'tobacco' 'chemicals' 'vapors'] |, |WEDNESDAY July 27 2016 (HealthDay News) -- All electronic cigarettes emit harmful chemicals and levels of those toxic compounds are affected by factors such as temperature type and age of the device a new study finds. The findings could be important to both makers of e-cigarettes and regulators who want to reduce the health threat posed by the devices according to researchers at the Lawrence Berkeley National Laboratory in California. "Advocates of e-cigarettes say emissions are much lower than from conventional cigarettes so you're better off using e-cigarettes" study corresponding author Hugo Destaillats said in a Berkeley news release. "I would say that may be true for certain users -- for example long-time smokers that cannot quit -- but the problem is it doesn't mean that they're healthy. Regular cigarettes are super unhealthy. E-cigarettes are just unhealthy" he explained. In laboratory tests scientists found that the heat-related breakdown of propylene glycol and glycerin -- two solvents found in most e-cigarette liquids -- causes emissions of toxic chemicals such as acrolein acetaldehyde and formaldehyde. All three are either respiratory irritants or carcinogens the investigators said. "Understanding how these compounds are formed is very important. One reason is for regulatory purposes and the second is if you want to manufacture a less harmful e-cigarette you have to understand what the main sources of these carcinogens are" Destaillats said. The researchers also found that levels of harmful chemicals in e-cigarette vapor increase between the first few puffs and later puffs as the device gets hotter and with each use of the device. Starting Aug. 8 the U.S. Food and Drug Administration will begin regulating e-cigarettes as well as all cigars hookahs (waterpipes) tobacco pipe tobacco and nicotine gels among other products. The new study was published July 27 in the journal Environmental Science & Technology.|
Wed Sep 28 23:47:47 EDT 2016,   https://t.co/6evsEqXPhq, | Quiz: What Can You Eat If You Have Diabetes?|, |['quizzes' 'questions' 'quiz' 'diabetes' 'food' 'blood sugar' 'blood sugar levels' 'high blood sugar' 'low blood sugar' 'sugar' 'carbohydrates' 'dessert' 'desserts' 'snacking' 'fiber' 'blood glucose' 'blood glucose levels' 'skipping meals' 'counting carbs' 'healthy carbs' 'white potato' 'sweet potato' 'sugar-free' 'sugar alcohols' 'ketones' 'protein']|, ||
Thu Jun 30 14:15:54 EDT 2016,   https://t.co/reWqpSSEBx, | Men Face Greater Risk of Cardiac Arrest|, |['cardiac arrest' 'heart' 'heart health' 'heart problems' 'heart disease' 'men' 'women'] |, |THURSDAY June 30 2016 (HealthDay News) -- Men are significantly more likely to have their heart stop suddenly than women are a new study finds. About one in nine men will suffer a cardiac arrest before the age of 70 compared to about one in 30 women. At age 45 men have nearly an 11 percent lifetime risk of sudden cardiac death compared with a 3 percent risk among women of the same age researchers report. "Most of these deaths are occurring prematurely -- before age 70 -- which means that this is a very important and largely preventable cause of death that's really affecting families in a devastating way" said lead researcher Dr. Donald Lloyd-Jones. He is chair of preventive medicine at Northwestern University Feinberg School of Medicine in Chicago. About 450000 Americans die from sudden cardiac death each year and most never have any symptoms of a heart problem he said. Men are especially at risk because heart disease tends to develop earlier in men than in women Lloyd-Jones explained. "We need to get more serious about screening men for risk factors for cardiac arrest" he said. The major risk factors include smoking high blood pressure high cholesterol and diabetes. "Know your numbers especially your blood pressure but also know your cholesterol or whether you have diabetes" he said. "At 50 men should also have a baseline electrocardiogram which might reveal heart problems." For the study Lloyd-Jones and his colleagues examined data on more than 5200 men and women aged 28 to 62 who took part in the long-running Framingham Heart Study which began in 1948. That study looked at four major risk factors for heart trouble -- blood pressure cholesterol smoking and diabetes. None of the participants had a heart problem at the start of the study. Because most of those in the study were white the findings cannot necessarily be applied to other groups the researchers cautioned. Over decades of follow-up 375 people died from a cardiac arrest. The risk for sudden cardiac death was even higher -- 12 percent -- among men who had two or more risk factors the researchers found.|
